# Melhores coberturas conhecidas no mundo, e melhores limites inferiores
# já provados, para o covering design C(v,k,t).
#
# Fonte: La Jolla Covering Repository, D. M. Gordon.
#   https://github.com/dmgordo/LJCR
# Licença: Creative Commons Attribution 4.0 (CC BY 4.0).
#
# Gerado por ferramentas/atualizar-referencia.py — não editar à mão.
#
# v,k,t,melhor_conhecido,limite_publicado
4,3,2,3,3
5,3,2,4,4
5,4,2,3,3
5,4,3,4,4
6,3,2,6,6
6,4,2,3,3
6,4,3,6,6
6,5,2,3,3
6,5,3,4,4
6,5,4,5,5
7,3,2,7,7
7,4,2,5,5
7,4,3,12,12
7,5,2,3,3
7,5,3,5,5
7,5,4,9,9
7,6,2,3,3
7,6,3,4,4
7,6,4,5,5
7,6,5,6,6
8,3,2,11,11
8,4,2,6,6
8,4,3,14,14
8,5,2,4,4
8,5,3,8,8
8,5,4,20,20
8,6,2,3,3
8,6,3,4,4
8,6,4,7,7
8,6,5,12,12
8,7,2,3,3
8,7,3,4,4
8,7,4,5,5
8,7,5,6,6
8,7,6,7,7
9,3,2,12,12
9,4,2,8,8
9,4,3,25,25
9,5,2,5,5
9,5,3,12,12
9,5,4,30,30
9,6,2,3,3
9,6,3,7,7
9,6,4,12,12
9,6,5,30,30
9,7,2,3,3
9,7,3,4,4
9,7,4,6,6
9,7,5,9,9
9,7,6,16,16
9,8,2,3,3
9,8,3,4,4
9,8,4,5,5
9,8,5,6,6
9,8,6,7,7
9,8,7,8,8
10,3,2,17,17
10,4,2,9,9
10,4,3,30,30
10,5,2,6,6
10,5,3,17,17
10,5,4,51,51
10,6,2,4,4
10,6,3,10,10
10,6,4,20,20
10,6,5,50,50
10,7,2,3,3
10,7,3,6,6
10,7,4,10,10
10,7,5,20,20
10,7,6,45,45
10,8,2,3,3
10,8,3,4,4
10,8,4,5,5
10,8,5,8,8
10,8,6,12,12
10,8,7,20,20
10,9,2,3,3
10,9,3,4,4
10,9,4,5,5
10,9,5,6,6
10,9,6,7,7
10,9,7,8,8
10,9,8,9,9
11,3,2,19,19
11,4,2,11,11
11,4,3,47,47
11,5,2,7,7
11,5,3,20,20
11,5,4,66,66
11,6,2,6,6
11,6,3,11,11
11,6,4,32,32
11,6,5,100,96
11,7,2,4,4
11,7,3,8,8
11,7,4,17,17
11,7,5,34,34
11,7,6,84,84
